description,id,secret,num,code,expect_value
正常,27961438,EqA5emp1,18270234907,9999,0
错误id,2796143800,EqA5emp1,18270234907,9999,100
错误密码,27961438,EqA5emp100,18270234907,9999,100
电话长度超出正常值,27961438,EqA5emp1,1.83E+12,9999,100
错误电话,27961438,EqA5emp1,28270234900,9999,100
超出长度的code,27961438,EqA5emp1,18270234907,9999000,100
长度不够的code,27961438,EqA5emp1,18270234907,999,100
id为空,,EqA5emp1,18270234907,9999,100
密码为空,27961438,,18270234907,9999,100
电话为空,27961438,EqA5emp1,,9999,100
code为空,27961438,EqA5emp1,18270234907,,100
